Date & Time,Inside Temp - °C,High Inside Temp - °C,Low Inside Temp - °C,Inside Hum - %,High Inside Hum - %,Low Inside Hum - %,Inside Dew Point - °C,Inside Wet Bulb - °C,Inside Heat Index - °C,Inside High Heat Index - °C,Barometer - mm Hg,High Bar - mm Hg,Low Bar - mm Hg,Absolute Pressure - mm Hg,Temp - °C,High Temp - °C,Low Temp - °C,Hum - %,High Hum - %,Low Hum - %,Dew Point - °C,High Dew Point - °C,Low Dew Point - °C,Wet Bulb - °C,High Wet Bulb - °C,Low Wet Bulb - °C,Avg Wind Speed - m/s,Prevailing Wind Dir,Avg Wind Dir,Wind Run - m,High Wind Speed - m/s,High Wind Direction,Wind Chill - °C,Low Wind Chill - °C,Heat Index - °C,ET - mm,High Heat Index - °C,Thw Index - °C,High Thw Index - °C,Low Thw Index - °C,Thsw Index - °C,High Thsw Index - °C,Low Thsw Index - °C,Rain - mm,High Rain Rate - mm,Solar Rad - W/m^2,High Solar Rad - W/m^2,Solar Energy - Ly,UV Index,High UV Index,UV Dose - MEDs,Heating Degree Days,Cooling Degree Days,AQI,High AQI,PM 1 - ug/m³,High PM 1 - ug/m³,PM 2.5 - ug/m³,High PM 2.5 - ug/m³,PM 10 - ug/m³,High PM 10 - ug/m³,Temp - °C,High Temp - °C,Low Temp - °C,Hum - %,High Hum - %,Low Hum - %,Dew Point - °C,High Dew Point - °C,Low Dew Point - °C,Wet Bulb - °C,High Wet Bulb - °C,Low Wet Bulb - °C,Heat Index - °C,High Heat Index - °C
2/15/2024 10:45,30,30,30,54,57,54,20,23,32,32,767.6,767.6,767.5,709.9,27,28,27,51,52,51,16,17,16,20,20,20,0,NNE,NNE,0,4,NNE,28,27,28,--,28,28,28,28,26,26,26,0,0,0,0,0,0,0,0,0,0.063,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2/15/2024 11:00,29,31,29,49,57,44,17,21,29,32,767.1,767.6,767.1,709.3,28,28,27,45,53,45,15,17,15,19,20,19,0,WSW,WSW,0,8,SW,28,27,28,--,28,28,28,27,26,27,26,0,0,19,81,0.42,0,4,0.1,0,0.096,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2/15/2024 11:15,28,29,28,46,50,44,15,19,28,29,766.9,767.1,766.9,709.2,28,29,28,38,44,38,13,15,13,19,20,19,1,ESE,NE,0.3,4,ESE,29,28,28,--,28,28,28,28,27,27,27,0,0,102,102,2.19,5,6,0.5,0,0.105,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2/15/2024 11:30,30,30,28,51,56,44,19,22,32,32,766.8,766.9,766.7,709.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,22,26,18,22,27,33,29,36,31,31,31,38,39,37,15,15,14,18,18,18,31,31
2/15/2024 11:45,35,35,30,40,51,40,19,24,37,38,766.6,766.9,766.6,708.9,30,31,29,32,37,32,12,14,12,19,19,19,0,NE,NW,0,3,NW,31,30,30,--,30,30,30,29,35,36,34,0,0,834,875,17.94,7,8,0.8,0,0.124,24,31,20,23,30,39,35,51,33,34,31,33,38,32,15,16,15,19,20,18,34,34
2/15/2024 12:00,35,35,35,37,40,37,18,23,37,37,766.4,766.6,766.4,708.8,31,31,30,30,34,29,11,13,10,18,19,18,1,E,ESE,0.3,4,E,30,30,29,--,30,29,30,29,32,35,28,0,0,347,782,7.46,4,8,0.4,0,0.127,21,27,18,23,26,34,28,40,34,35,34,29,33,28,14,16,13,18,19,17,35,35
2/15/2024 12:15,35,35,35,36,37,36,18,23,37,37,766.3,766.4,766.3,708.6,30,30,30,30,32,29,11,11,10,18,18,18,2,ESE,ESE,0.6,5,SE,30,30,29,--,29,29,29,29,32,33,29,0,0,737,835,15.85,7,8,0.8,0,0.122,19,25,16,20,24,31,26,42,35,36,35,27,29,27,14,14,13,18,18,17,35,36
2/15/2024 12:30,36,36,35,35,36,35,18,23,37,37,766.1,766.3,766.1,708.5,30,31,30,29,30,29,11,11,11,18,18,18,2,E,SE,0.5,5,ESE,31,30,29,0.7,29,29,29,29,33,33,32,0,0,835,846,17.96,8,8,0.9,0,0.126,20,26,16,20,25,33,26,41,36,37,36,27,28,26,14,15,14,18,19,17,36,36
2/15/2024 12:45,36,36,36,34,35,34,18,23,37,38,765.9,766.1,765.9,708.3,31,31,31,29,31,28,11,12,10,18,19,18,2,SE,ESE,0.4,5,ENE,31,31,30,--,30,30,30,29,33,34,31,0,0,817,865,17.57,8,8,0.9,0,0.13,21,26,17,21,26,32,28,40,37,37,36,26,28,25,14,15,14,18,19,18,37,37
2/15/2024 13:00,36,36,36,34,34,34,18,23,38,38,765.7,765.9,765.7,708.1,31,31,31,27,29,27,10,11,10,18,18,18,2,E,E,0.6,7,E,31,31,30,--,30,30,30,29,33,34,33,0,0,832,840,17.89,8,8,0.9,0,0.132,21,26,17,21,26,33,28,38,37,37,36,25,27,24,13,15,13,17,19,17,36,37
